Hour,Flat coral PAR (micro mole photon/m2*s),Round coral PAR (micro mole photon/m2*s),Average PAR,standard deviation
6,109.090909090909,66.2983425414363,87.6946258161725,30.2589139915086
7.0,348.16247582205,341.436464088398,344.799469955224,4.75600850720582
8.0,603.48162475822,591.71270718232,597.59716597027,8.32188142514475
9.0,854.158607350097,202.209944751381,528.184276050739,460.997320309052
10.0,1005.02901353965,483.977900552486,744.503457046069,368.438775338023
11.0,1121.083172147,646.408839779005,883.746005963003,335.645439272608
12.0,1246.42166344294,712.707182320442,979.564422881691,377.393128819178
13.0,1193.03675048356,689.502762430939,941.269756457249,356.052297509914
14.0,1051.45067698259,603.314917127072,827.382797054832,316.879834686024
15.0,972.533849129594,532.044198895028,752.289024012311,311.473218723352
16.0,747.388781431335,429.281767955801,588.335274693568,224.93562637155
17.0,577.949709864603,331.491712707182,454.720711285893,174.272121067668
18,241.392649903288,124.309392265193,182.85102108424,82.7903654393086
