hour,PAR (mol/m2*h),PARE (J/m2*h) ,wavelength (nm),1 kcal to J,Normalized_PAR,Max_Par
7.01,0.819,178151.834482758,550,4184,0.122,6.69377883779507
8.00,1.758,382408.628223703,,,0.263,
9.00,2.984,649193.368183135,,,0.446,
10.01,4.694,1021292.69800058,,,0.701,
11.01,5.588,1215676.65812808,,,0.835,
12.00,6.405,1393605.8955665,,,0.957,
13.00,6.694,1456352.0741814,,,1.000,
14.01,6.105,1328227.83425094,,,0.912,
15.01,5.334,1160607.89521878,,,0.797,
16.00,3.853,838313.562909302,,,0.576,
17.00,2.024,440327.506230078,,,0.302,
17.99,0.724,157524.508374384,,,0.108,
